PREREQUISITE_TASKS	EXCLUSION_TASKS	ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	IS_VISIBLE	SHOW_SYSTEM_MESSAGES	ALLOW_REPEATS	MUSIC_ON_ACTIVATE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	SIGNAL_NAME
s	s	s	s	s	s	s	s	b	b	b	s	s	s	s	s	b	s	s	s	s	s	s
		quest.task.ground.nothing			1,4,7,10			0	0	0						0	tatooine	0.0	0.0	0.0		
		quest.task.ground.wait_for_signal			2		sordaan_zivenSendsYou	0	0	0						0	tatooine	0.0	0.0	0.0		sordaan_zivenSendsYou
		quest.task.ground.wait_for_signal	@quest/ground/ep3_hunt_sordaan_seek_sordaan:task02_journal_entry_title	@quest/ground/ep3_hunt_sordaan_seek_sordaan:task02_journal_entry_description	3		sordaan_talkToSordaan_04	1	0	0						0	tatooine	0.0	0.0	0.0		sordaan_talkToSordaan
		quest.task.ground.clear_quest						0	0	0						0	tatooine	0.0	0.0	0.0		
		quest.task.ground.wait_for_signal			5		sordaan_trippSendsYou	0	0	0						0	tatooine	0.0	0.0	0.0		sordaan_trippSendsYou
		quest.task.ground.wait_for_signal	@quest/ground/ep3_hunt_sordaan_seek_sordaan:task05_journal_entry_title	@quest/ground/ep3_hunt_sordaan_seek_sordaan:task05_journal_entry_description	6		sordaan_talkToSordaan_03	1	0	0						0	tatooine	0.0	0.0	0.0		sordaan_talkToSordaan
		quest.task.ground.clear_quest						0	0	0						0	tatooine	0.0	0.0	0.0		
		quest.task.ground.wait_for_signal			8		sordaan_eharttSendsYou	0	0	0						0	tatooine	0.0	0.0	0.0		sordaan_eharttSendsYou
		quest.task.ground.wait_for_signal	@quest/ground/ep3_hunt_sordaan_seek_sordaan:task08_journal_entry_title	@quest/ground/ep3_hunt_sordaan_seek_sordaan:task08_journal_entry_description	9		sordaan_talkToSordaan_02	1	0	0						0	tatooine	0.0	0.0	0.0		sordaan_talkToSordaan
		quest.task.ground.clear_quest						0	0	0						0	tatooine	0.0	0.0	0.0		
		quest.task.ground.wait_for_signal			11		sordaan_tuwezzSendsYou	0	0	0						0	tatooine	0.0	0.0	0.0		sordaan_tuwezzSendsYou
		quest.task.ground.wait_for_signal	@quest/ground/ep3_hunt_sordaan_seek_sordaan:task11_journal_entry_title	@quest/ground/ep3_hunt_sordaan_seek_sordaan:task11_journal_entry_description	12		sordaan_talkToSordaan_01	1	0	0						0	tatooine	0.0	0.0	0.0		sordaan_talkToSordaan
		quest.task.ground.clear_quest						0	0	0						0	tatooine	0.0	0.0	0.0		
