ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	i	i	s
quest.task.ground.wait_for_signal	@quest/ground/jabba_bib_fortuna_v2:task00_journal_entry_title	@quest/ground/jabba_bib_fortuna_v2:task00_journal_entry_description	1			0	1,2,3		speakToRomo	1				0	none	none				1		1			1	tatooine	-5224	0.0	-6560			@quest/ground/jabba_bib_fortuna_v2:task00_waypoint_name	0	0.0	0.0	0.0		spokenToRomo	0			0		0	0	0	0																																	
quest.task.ground.destroy_multi	@quest/ground/jabba_bib_fortuna_v2:task01_journal_entry_title	@quest/ground/jabba_bib_fortuna_v2:task01_journal_entry_description	1			0			killingValariansForRomo_b	1				0	none	none				1		1			0	tatooine	0	0.0	0				0	0.0	0.0	0.0											0	tatooine_wayfar_spy_leader			1	0																												
quest.task.ground.destroy_multi	@quest/ground/jabba_bib_fortuna_v2:task02_journal_entry_title	@quest/ground/jabba_bib_fortuna_v2:task02_journal_entry_description	1			0			killingValariansForRomo_a	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	tatooine_wayfar_spy			9	0																												
quest.task.ground.wait_for_tasks	@quest/ground/jabba_bib_fortuna_v2:task03_journal_entry_title	@quest/ground/jabba_bib_fortuna_v2:task03_journal_entry_description	1			0	4		killingValariansForRomo	1				0	none	none				1		1			1	tatooine	-5491	46	-6633			@quest/ground/jabba_bib_fortuna_v2:task03_waypoint_name	0	0.0	0.0	0.0											0						quest/jabba_bib_fortuna_v2	killingValariansForRomo_a	@quest/ground/jabba_bib_fortuna_v2:task03_task_display_string_1	quest/jabba_bib_fortuna_v2	killingValariansForRomo_b	@quest/ground/jabba_bib_fortuna_v2:task03_task_display_string_2																						
quest.task.ground.comm_player	@quest/ground/jabba_bib_fortuna_v2:task04_journal_entry_title	@quest/ground/jabba_bib_fortuna_v2:task04_journal_entry_description	0			0	5			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																			@quest/ground/jabba_bib_fortuna_v2:task04_comm_message_text	object/mobile/bib_fortuna.iff								
quest.task.ground.wait_for_signal	@quest/ground/jabba_bib_fortuna_v2:task05_journal_entry_title	@quest/ground/jabba_bib_fortuna_v2:task05_journal_entry_description	1			0	6,7,8		returnToRomo	1				0	none	none				1		1			1	tatooine	-5223	75	-6560			@quest/ground/jabba_bib_fortuna_v2:task05_waypoint_name	0	0.0	0.0	0.0		completedRomosQuest	0			0		0	0	0	0																																	
quest.task.ground.retrieve_item	@quest/ground/jabba_bib_fortuna_v2:task06_journal_entry_title	@quest/ground/jabba_bib_fortuna_v2:task06_journal_entry_description	1			0			getRomosDisks_b	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																										object/tangible/quest/tatooine_bib_fortuna_hacker_terminal.iff	1	@quest/ground/jabba_bib_fortuna_v2:task06_item_name	100	0	0	0	@quest/ground/jabba_bib_fortuna_v2:task06_retrieve_menu_text
quest.task.ground.destroy_multi	@quest/ground/jabba_bib_fortuna_v2:task07_journal_entry_title	@quest/ground/jabba_bib_fortuna_v2:task07_journal_entry_description	1			0			getRomosDisks_a	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	tatooine_valarian_hacker			7	0																												
quest.task.ground.wait_for_tasks	@quest/ground/jabba_bib_fortuna_v2:task08_journal_entry_title	@quest/ground/jabba_bib_fortuna_v2:task08_journal_entry_description	1			0	9		getRomosDisks	1				0	none	none				1		1			1	tatooine	-5371	64	-6899			@quest/ground/jabba_bib_fortuna_v2:task08_waypoint_name	0	0.0	0.0	0.0											0						quest/jabba_bib_fortuna_v2	getRomosDisks_a	@quest/ground/jabba_bib_fortuna_v2:task08_task_display_string_1	quest/jabba_bib_fortuna_v2	getRomosDisks_b	@quest/ground/jabba_bib_fortuna_v2:task08_task_display_string_2																						
quest.task.ground.wait_for_signal	@quest/ground/jabba_bib_fortuna_v2:task09_journal_entry_title	@quest/ground/jabba_bib_fortuna_v2:task09_journal_entry_description	1			0	10,11,12		takeDiskToBib	1				0	none	none				1		1			1	tatooine	-5857	90	-6175			@quest/ground/jabba_bib_fortuna_v2:task09_waypoint_name	0	0.0	0.0	0.0		romosDisksDelivered	0			0		0	0	0	0																																	
quest.task.ground.destroy_multi	@quest/ground/jabba_bib_fortuna_v2:task10_journal_entry_title	@quest/ground/jabba_bib_fortuna_v2:task10_journal_entry_description	1			0			killRomoVax_b	1				0	none	none				1		1			0	tatooine	0	0	0				0	0.0	0.0	0.0											0	tatooine_romo_vax_henchman			11	0																												
quest.task.ground.destroy_multi	@quest/ground/jabba_bib_fortuna_v2:task11_journal_entry_title	@quest/ground/jabba_bib_fortuna_v2:task11_journal_entry_description	1			0			killRomoVax_a	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	fighting_romo_vax			1	0																												
quest.task.ground.wait_for_tasks	@quest/ground/jabba_bib_fortuna_v2:task12_journal_entry_title	@quest/ground/jabba_bib_fortuna_v2:task12_journal_entry_description	1			0	13		killRomoVax	0				0	none	none				1		1			1	tatooine	-5055	43	-6962			@quest/ground/jabba_bib_fortuna_v2:task12_waypoint_name	0	0.0	0.0	0.0											0						quest/jabba_bib_fortuna_v2	killRomoVax_a	@quest/ground/jabba_bib_fortuna_v2:task12_task_display_string_1	quest/jabba_bib_fortuna_v2	killRomoVax_b	@quest/ground/jabba_bib_fortuna_v2:task12_task_display_string_2																						
