ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	RADIUS	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	i	i	s
quest.task.ground.comm_player	@quest/ground/legacy_button_valarian_v2:task00_journal_entry_title		0			0	1		legacy_button_valarian_e145	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/legacy_button_valarian_v2:task00_comm_message_text	object/mobile/dressed_dressed_legacy_barrezz.iff																												
quest.task.ground.go_to_location	@quest/ground/legacy_button_valarian_v2:task01_journal_entry_title	@quest/ground/legacy_button_valarian_v2:task01_journal_entry_description	1			0	2,5,6,7,8,9,10		legacy_button_valarian_e1	0				0	none	none				1		1			1	tatooine	-1565	0.0	-3440			@quest/ground/legacy_button_valarian_v2:task01_waypoint_name	0	0.0	0.0	0.0				30	0																										
quest.task.ground.wait_for_tasks	@quest/ground/legacy_button_valarian_v2:task02_journal_entry_title	@quest/ground/legacy_button_valarian_v2:task02_journal_entry_description	0			0	3,4		legacy_button_valarian_e2	1		sound/music_combat_e_thru_s_vict.snd		0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0					0	quest/legacy_button_valarian_v2	legacy_button_valarian_e5	@quest/ground/legacy_button_valarian_v2:task02_task_display_string_1	quest/legacy_button_valarian_v2	legacy_button_valarian_e6	@quest/ground/legacy_button_valarian_v2:task02_task_display_string_2	quest/legacy_button_valarian_v2	legacy_button_valarian_e7	@quest/ground/legacy_button_valarian_v2:task02_task_display_string_3	quest/legacy_button_valarian_v2	legacy_button_valarian_e8	@quest/ground/legacy_button_valarian_v2:task02_task_display_string_4	quest/legacy_button_valarian_v2	legacy_button_valarian_e9	@quest/ground/legacy_button_valarian_v2:task02_task_display_string_5											
quest.task.ground.complete_quest			0			0			legacy_button_valarian_e4	0				0	none	none			legacy_button_darklighter	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																															
quest.task.ground.comm_player			0			0			legacy_button_valarian_e2a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/legacy_button_valarian_v2:task04_comm_message_text	object/mobile/dressed_dressed_legacy_barrezz.iff																												
quest.task.ground.retrieve_item	@quest/ground/legacy_button_valarian_v2:task05_journal_entry_title	@quest/ground/legacy_button_valarian_v2:task05_journal_entry_description	1			0			legacy_button_valarian_e5	0		music_combat_e_thru_s_vict.snd		0	none	none				1		1			1	tatooine	-1673	0.0	-3291			@quest/ground/legacy_button_valarian_v2:task05_waypoint_name	0	0.0	0.0	0.0					0																			object/tangible/quest/legacy_valarian_pallet1_datapad.iff	1	@quest/ground/legacy_button_valarian_v2:task05_item_name	100	0	0	0	@quest/ground/legacy_button_valarian_v2:task05_retrieve_menu_text
quest.task.ground.retrieve_item	@quest/ground/legacy_button_valarian_v2:task06_journal_entry_title	@quest/ground/legacy_button_valarian_v2:task06_journal_entry_description	1			0			legacy_button_valarian_e6	0		music_combat_e_thru_s_vict.snd		0	none	none				1		1			1	tatooine	-1615	0.0	-3330			@quest/ground/legacy_button_valarian_v2:task06_waypoint_name	0	0.0	0.0	0.0					0																			object/tangible/quest/legacy_valarian_pallet2_datapad.iff	1	@quest/ground/legacy_button_valarian_v2:task06_item_name	100	0	0	0	@quest/ground/legacy_button_valarian_v2:task06_retrieve_menu_text
quest.task.ground.retrieve_item	@quest/ground/legacy_button_valarian_v2:task07_journal_entry_title	@quest/ground/legacy_button_valarian_v2:task07_journal_entry_description	1			0			legacy_button_valarian_e7	0		music_combat_e_thru_s_vict.snd		0	none	none				1		1			1	tatooine	-1662	0.0	-3339			@quest/ground/legacy_button_valarian_v2:task07_waypoint_name	0	0.0	0.0	0.0					0																			object/tangible/quest/legacy_valarian_pallet3_datapad.iff	1	@quest/ground/legacy_button_valarian_v2:task07_item_name	100	0	0	0	@quest/ground/legacy_button_valarian_v2:task07_retrieve_menu_text
quest.task.ground.retrieve_item	@quest/ground/legacy_button_valarian_v2:task08_journal_entry_title	@quest/ground/legacy_button_valarian_v2:task08_journal_entry_description	1			0			legacy_button_valarian_e8	0		music_combat_e_thru_s_vict.snd		0	none	none				1		1			1	tatooine	-1703	0.0	-3337			@quest/ground/legacy_button_valarian_v2:task08_waypoint_name	0	0.0	0.0	0.0					0																			object/tangible/quest/legacy_valarian_pallet4_datapad.iff	1	@quest/ground/legacy_button_valarian_v2:task08_item_name	100	0	0	0	@quest/ground/legacy_button_valarian_v2:task08_retrieve_menu_text
