ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	ITEM_TO_GIVE	NUM_TO_GIVE	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	s	i	i	i	s	i	s	i	s	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.nothing	@quest/ground/legacy_head_malakili:task00_journal_entry_title		0			0	1,2,4		legacy_head_remodel_e1	0							1		1	0	tatooine	0.0	0.0	0.0																																																						
quest.task.ground.destroy_multi			1			0			legacy_head_remodel_e3	1							1		1	0	tatooine	0.0	0.0	0.0							1	0	0																																													
quest.task.ground.retrieve_item	@quest/ground/legacy_head_malakili:task02_journal_entry_title	@quest/ground/legacy_head_malakili:task02_journal_entry_description	1			0	3		legacy_head_remodel_e4	1							1		1	0	tatooine	0.0	0.0	0.0									0		1		100																																									
quest.task.ground.give_item	@quest/ground/legacy_head_malakili:task03_journal_entry_title	@quest/ground/legacy_head_malakili:task03_journal_entry_description	1			0			legacy_head_remodel_e5	1							1		1	0	tatooine	0.0	0.0	0.0									0						object/tangible/quest/legacy_head_pain3.iff	1																																						
quest.task.ground.wait_for_tasks	@quest/ground/legacy_head_malakili:task04_journal_entry_title		0			0	5		legacy_head_remodel_e2	0							1		1	0	tatooine	0.0	0.0	0.0									0								quest/legacy_head_remodel	legacy_head_remodel_e3	@quest/ground/legacy_head_malakili:task04_task_display_string_1	quest/legacy_head_remodel	egacy_head_remodel_e4	@quest/ground/legacy_head_malakili:task04_task_display_string_2	quest/legacy_head_remodel	legacy_head_remodel_e5	@quest/ground/legacy_head_malakili:task04_task_display_string_3																													
quest.task.ground.retrieve_item	@quest/ground/legacy_head_malakili:task05_journal_entry_title	@quest/ground/legacy_head_malakili:task05_journal_entry_description	1			0	6		legacy_head_remodel_e6	1							1		1	0	tatooine	0.0	0.0	0.0									0	object/tangible/quest/legacy_head_pain3.iff	1	@quest/ground/legacy_head_malakili:task05_item_name	100	@quest/ground/legacy_head_malakili:task05_retrieve_menu_text																																								
quest.task.ground.comm_player			1			0	7			0							1		1	0	tatooine	0.0	0.0	0.0																																			@quest/ground/legacy_head_malakili:task06_comm_message_text	object/mobile/ev_9d9.iff																		
quest.task.ground.reward	@quest/ground/legacy_head_malakili:task07_journal_entry_title		0			0	8		legacy_head_remodel_e7	0							1		1	0	tatooine	0.0	0.0	0.0							1																															0	Rebel	0	12000		1			1	0.1	0.1	0.1	0.1		1	0.1	
quest.task.ground.complete_quest			0			0			legacy_head_remodel_e8	0							1		1	0	tatooine	0.0	0.0	0.0																																																						
