ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	s	i	s	s	b	s	s	s	s	f	f	f	s	s	s	i	i
quest.task.ground.nothing			0			0	1,9,10			0							1		1			0	tatooine	0.0	0.0	0.0																																									
quest.task.ground.wait_for_tasks	@quest/ground/naboo_deeja_peak_beacon_mercs:task01_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_mercs:task01_journal_entry_description	1			0	2,7,8		deeja_peak_beacon_mercs_00	0							1		1			1	naboo	4821.89990234375	185.699996948242	-2570.19995117188			@quest/ground/naboo_deeja_peak_beacon_mercs:task01_waypoint_name	quest/naboo_deeja_peak_beacon_mercs	deeja_peak_beacon_mercs_01	@quest/ground/naboo_deeja_peak_beacon_mercs:task01_task_display_string_1	quest/naboo_deeja_peak_beacon_mercs	deeja_peak_beacon_mercs_02	@quest/ground/naboo_deeja_peak_beacon_mercs:task01_task_display_string_2													0																			
quest.task.ground.wait_for_tasks	@quest/ground/naboo_deeja_peak_beacon_mercs:task02_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_mercs:task02_journal_entry_description	1			0	3		deeja_peak_beacon_mercs_03	0							1		1			1	naboo	4821.89990234375	185.699996948242	-2570.19995117188			@quest/ground/naboo_deeja_peak_beacon_mercs:task02_waypoint_name	quest/naboo_deeja_peak_beacon_mercs	deeja_peak_beacon_mercs_03b	@quest/ground/naboo_deeja_peak_beacon_mercs:task02_task_display_string_1	quest/naboo_deeja_peak_beacon_mercs	deeja_peak_beacon_mercs_03c	@quest/ground/naboo_deeja_peak_beacon_mercs:task02_task_display_string_2													0																			
quest.task.ground.retrieve_item	@quest/ground/naboo_deeja_peak_beacon_mercs:task03_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_mercs:task03_journal_entry_description	1			0	4		deeja_peak_beacon_mercs_04	1							1		1			1	naboo	4821.89990234375	185.699996948242	-2570.19995117188			@quest/ground/naboo_deeja_peak_beacon_mercs:task03_waypoint_name																			0	object/tangible/quest/naboo_deeja_peak_security_beacon.iff	1	@quest/ground/naboo_deeja_peak_beacon_mercs:task03_item_name	100	@quest/ground/naboo_deeja_peak_beacon_mercs:task03_retrieve_menu_text														
quest.task.ground.wait_for_signal	@quest/ground/naboo_deeja_peak_beacon_mercs:task04_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_mercs:task04_journal_entry_description	1			0	5		deeja_peak_beacon_mercs_05	1							1		1			1	naboo	5155.2001953125	346.5	-1535.19995117188			@quest/ground/naboo_deeja_peak_beacon_mercs:task04_waypoint_name																			0						deeja_peak_beacon_mercs_05	0			0		0	0	0					
quest.task.ground.wait_for_signal	@quest/ground/naboo_deeja_peak_beacon_mercs:task05_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_mercs:task05_journal_entry_description	1			0	6		deeja_peak_beacon_mercs_06	1							1		1			1	naboo	4694.5	330.5	-1395.59997558594			@quest/ground/naboo_deeja_peak_beacon_mercs:task05_waypoint_name																			0						deeja_peak_beacon_mercs_06	0			0		0	0	0					
quest.task.ground.complete_quest			0			0			deeja_peak_beacon_mercs_06b	0							1		1			0	tatooine	0.0	0.0	0.0																																									
quest.task.ground.destroy_multi	@quest/ground/naboo_deeja_peak_beacon_mercs:task07_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_mercs:task07_journal_entry_description	1			0			deeja_peak_beacon_mercs_03c	1							1		1			0	tatooine	0.0	0.0	0.0																						0															naboo_strehkforce_maris_fahrs			1	0
quest.task.ground.destroy_multi	@quest/ground/naboo_deeja_peak_beacon_mercs:task08_journal_entry_title	@quest/ground/naboo_deeja_peak_beacon_mercs:task08_journal_entry_description	1			0			deeja_peak_beacon_mercs_03b	1							1		1			0	tatooine	0.0	0.0	0.0																						0															naboo_strehkforce_evan_strehk			1	0
