ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	s	s	i	i	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1,2,3			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																												
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_hugo_skaak:task01_journal_entry_title	@quest/ground/naboo_theed_hugo_skaak:task01_journal_entry_description	1			0			theed_hugo_skaak_02	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		naboo_darkwalker_scoff			12	0	0																																					
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_hugo_skaak:task02_journal_entry_title	@quest/ground/naboo_theed_hugo_skaak:task02_journal_entry_description	1			0			theed_hugo_skaak_01	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		naboo_darkwalker_ruffal			11	0	0																																					
quest.task.ground.wait_for_tasks	@quest/ground/naboo_theed_hugo_skaak:task03_journal_entry_title	@quest/ground/naboo_theed_hugo_skaak:task03_journal_entry_description	1			0	4		theed_hugo_skaak_00	1							1		1			1	naboo	-4290.39990234375	-192.199996948242	4350.7998046875			@quest/ground/naboo_theed_hugo_skaak:task03_waypoint_name	0	0.0	0.0	0.0							0	quest/naboo_theed_hugo_skaak	theed_hugo_skaak_01	@quest/ground/naboo_theed_hugo_skaak:task03_task_display_string_1	quest/naboo_theed_hugo_skaak	theed_hugo_skaak_02	@quest/ground/naboo_theed_hugo_skaak:task03_task_display_string_2																															
quest.task.ground.comm_player			0			0	5		theed_hugo_skaak_02b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																										@quest/ground/naboo_theed_hugo_skaak:task04_comm_message_text	object/mobile/dressed_criminal_thug_human_male_02.iff																	
quest.task.ground.retrieve_item	@quest/ground/naboo_theed_hugo_skaak:task05_journal_entry_title	@quest/ground/naboo_theed_hugo_skaak:task05_journal_entry_description	1			0	6		theed_hugo_skaak_03	1							1		1			1	naboo	-4290.39990234375	-192.199996948242	4350.7998046875			@quest/ground/naboo_theed_hugo_skaak:task05_waypoint_name	0	0.0	0.0	0.0							0																					object/tangible/quest/naboo_theed_darkwalker_network_terminal.iff	9	@quest/ground/naboo_theed_hugo_skaak:task05_item_name	100	@quest/ground/naboo_theed_hugo_skaak:task05_retrieve_menu_text												
quest.task.ground.comm_player			0			0	7		theed_hugo_skaak_03b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																										@quest/ground/naboo_theed_hugo_skaak:task06_comm_message_text	object/mobile/dressed_criminal_thug_human_male_02.iff																	
quest.task.ground.destroy_multi_and_loot	@quest/ground/naboo_theed_hugo_skaak:task07_journal_entry_title	@quest/ground/naboo_theed_hugo_skaak:task07_journal_entry_description	1			0	8		theed_hugo_skaak_04	0							1		1			1	naboo	-4290.39990234375	-192.199996948242	4350.7998046875			@quest/ground/naboo_theed_hugo_skaak:task07_waypoint_name	0	0.0	0.0	0.0		naboo_darkwalker_defender				0	0																										Darkwalker Access Cards	12	90									
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_hugo_skaak:task08_journal_entry_title	@quest/ground/naboo_theed_hugo_skaak:task08_journal_entry_description	1			0			theed_hugo_skaak_05	0							1		1			1	naboo	-4959.2998046875	6	4048			@quest/ground/naboo_theed_hugo_skaak:task08_waypoint_name	0	0.0	0.0	0.0							0																													theed_hugo_skaak_05	0			0		0	0	0
