ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	ITEM_TO_GIVE	NUM_TO_GIVE	CREATE_ITEM	DESTROY_ITEM	TIMER_AMOUNT	REMAINING_TIME	FAIL_ON_LOGOUT	TRAVEL_BLOCK	TRAVEL_BLOCK_ALLOW_LAUNCH	TEXT_TYPE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	CHANCE_TO_SKIP	CREATURE_TYPE	MIN_COUNT	MAX_COUNT	MIN_DISTANCE	MAX_DISTANCE	MIN_LEVEL_DIFFERENCE	MAX_LEVEL_DIFFERENCE	GROUND_START_COMBAT	BUFF_NAME	DISMOUNT_PLAYER	MOUNT_BLOCK_DURATION	SHIP_TYPE	SHIP_MIN_COUNT	SHIP_MAX_COUNT	SPACE_START_COMBAT	HYPERSPACE_BLOCK_DURATION	MIN_START_DELAY	MAX_START_DELAY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	b	b	i	i	b	b	b	e(give=0,deliver=1)[give]	s	b	s	s	s	s	f	f	f	s	s	i	s	i	i	i	i	i	i	b	s	b	i	s	i	i	b	i	i	i
quest.task.ground.nothing			0			0	1,2,3,4,5,6,8,12		smugglerNothing	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																									
quest.task.ground.give_item	@quest/ground/smuggle_generic_4:task01_journal_entry_title	@quest/ground/smuggle_generic_4:task01_journal_entry_description	1			0			deliverAlec	1				1	complete	none				1		1		smugglerEnemyIncap	1	endor	3334	25	-3521			@quest/ground/smuggle_generic_4:task01_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	720	0	1	1	0	deliver																														
quest.task.ground.give_item	@quest/ground/smuggle_generic_4:task02_journal_entry_title	@quest/ground/smuggle_generic_4:task02_journal_entry_description	1			0			deliverQuinton	1				1	complete	none				1		1		smugglerEnemyIncap	1	endor	-4645	88	-2163			@quest/ground/smuggle_generic_4:task02_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	660	0	1	1	0	deliver																														
quest.task.ground.give_item	@quest/ground/smuggle_generic_4:task03_journal_entry_title	@quest/ground/smuggle_generic_4:task03_journal_entry_description	1			0			deliverDreda	1				1	complete	none				1		1		smugglerEnemyIncap	1	endor	6018	212	6146			@quest/ground/smuggle_generic_4:task03_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	800	0	1	1	0	deliver																														
quest.task.ground.give_item	@quest/ground/smuggle_generic_4:task04_journal_entry_title	@quest/ground/smuggle_generic_4:task04_journal_entry_description	1			0			deliverTylar	1				1	complete	none				1		1		smugglerEnemyIncap	1	dathomir	-6346	128	743			@quest/ground/smuggle_generic_4:task04_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	1800	0	1	1	1	deliver																														
quest.task.ground.give_item	@quest/ground/smuggle_generic_4:task05_journal_entry_title	@quest/ground/smuggle_generic_4:task05_journal_entry_description	1			0			deliverAlwynn	1				1	complete	none				1		1		smugglerEnemyIncap	1	rori	-4812	76	-2270			@quest/ground/smuggle_generic_4:task05_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	1800	0	1	1	1	deliver																														
quest.task.ground.wait_for_signal			0			0	7		incapFail	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0						0						smugglerEnemyIncap	0			0		0	0	0																					
quest.task.ground.comm_player			0			0			commFailure	0				0	clear	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					@quest/ground/smuggle_generic_4:task07_comm_message_text	object/mobile/smuggler_broker_harding.iff																			
quest.task.ground.spawn			0			0	9		spawn1	0				0	none	clear				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																							20	smuggler_patrol_thief_8	2	4	5	20	1	0	0	caltropSnare	1	15	smuggler_intercept_tier3	1	4	1	60	40	85
