ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TIMER_AMOUNT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i	s	i	i	i	i	s	i
quest.task.ground.comm_player			0			0	1			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/speeder_quest:task00_comm_message_text	object/mobile/han_solo.iff									
quest.task.ground.retrieve_item	@quest/ground/speeder_quest:task01_journal_entry_title	@quest/ground/speeder_quest:task01_journal_entry_description	1			0	2			0				0	none	none				1		1			1	tatooine	3632	5	-4684			@quest/ground/speeder_quest:task01_waypoint_name	0	0.0	0.0	0.0				object/tangible/quest/speeder_debris_wiring.iff	1	@quest/ground/speeder_quest:task01_item_name	100	0	0	0	@quest/ground/speeder_quest:task01_retrieve_menu_text	0
quest.task.ground.comm_player			0			0	3			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/speeder_quest:task02_comm_message_text	object/mobile/han_solo.iff									
quest.task.ground.retrieve_item	@quest/ground/speeder_quest:task03_journal_entry_title	@quest/ground/speeder_quest:task03_journal_entry_description	1			0	4			0				0	none	none				1		1			1	tatooine	3814	5	-4671			@quest/ground/speeder_quest:task03_waypoint_name	0	0.0	0.0	0.0				object/tangible/quest/speeder_junk_power.iff	1	@quest/ground/speeder_quest:task03_item_name	100	0	0	0	@quest/ground/speeder_quest:task03_retrieve_menu_text	0
quest.task.ground.comm_player			0			0	5			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/speeder_quest:task04_comm_message_text	object/mobile/han_solo.iff									
quest.task.ground.retrieve_item	@quest/ground/speeder_quest:task05_journal_entry_title	@quest/ground/speeder_quest:task05_journal_entry_description	1			0	6			0				0	none	none				1		1			1	tatooine	3979	5	-4795			@quest/ground/speeder_quest:task05_waypoint_name	0	0.0	0.0	0.0				object/tangible/quest/speeder_junk_steering.iff	1	@quest/ground/speeder_quest:task05_item_name	100	0	0	0	@quest/ground/speeder_quest:task05_retrieve_menu_text	0
quest.task.ground.comm_player			0			0	7			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/speeder_quest:task06_comm_message_text	object/mobile/han_solo.iff									
quest.task.ground.retrieve_item	@quest/ground/speeder_quest:task07_journal_entry_title	@quest/ground/speeder_quest:task07_journal_entry_description	1			0	8			0				0	none	none				1		1			1	tatooine	4069	5	-4826			@quest/ground/speeder_quest:task07_waypoint_name	0	0.0	0.0	0.0				object/tangible/quest/speeder_junk_engine.iff	1	@quest/ground/speeder_quest:task07_item_name	100	0	0	0	@quest/ground/speeder_quest:task07_retrieve_menu_text	0
quest.task.ground.comm_player			0			0				0				0	none	none			quest/find_majolnir	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/speeder_quest:task08_comm_message_text	object/mobile/han_solo.iff									
