ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	i	s	i	s	b	s	s	s	s	f	f	f	s	s	s	i	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
quest.task.ground.nothing			0			0	1,4,5,6,10,11,13		better_genetics_nothing_01_01	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																												
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_better_genetics:task01_journal_entry_title	@quest/ground/talus_dearic_better_genetics:task01_journal_entry_description	1			0	2		better_genetics_retrieve_02_03h	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/talus_dearic_managers_terminal.iff	1	@quest/ground/talus_dearic_better_genetics:task01_item_name	100	5	@quest/ground/talus_dearic_better_genetics:task01_retrieve_menu_text	0																																				
quest.task.ground.wait_for_signal	@quest/ground/talus_dearic_better_genetics:task02_journal_entry_title	@quest/ground/talus_dearic_better_genetics:task02_journal_entry_description	1			0	3		better_genetics_retrieve_01_03i	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								0	better_genetics_retrieve_01_03i	0			0		0	0	0																											
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_better_genetics:task03_journal_entry_title	@quest/ground/talus_dearic_better_genetics:task03_journal_entry_description	1			0			better_genetics_retrieve_03_03j	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/talus_dearic_managers_terminal.iff	1	@quest/ground/talus_dearic_better_genetics:task03_item_name	100	10	@quest/ground/talus_dearic_better_genetics:task03_retrieve_menu_text	0																																				
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_better_genetics:task04_journal_entry_title	@quest/ground/talus_dearic_better_genetics:task04_journal_entry_description	1			0			better_genetics_retrieve_04_03g	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/talus_dearic_scientists_terminal.iff	1	@quest/ground/talus_dearic_better_genetics:task04_item_name	100	10	@quest/ground/talus_dearic_better_genetics:task04_retrieve_menu_text	0																																				
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_better_genetics:task05_journal_entry_title	@quest/ground/talus_dearic_better_genetics:task05_journal_entry_description	1			0			better_genetics_retrieve_05_03f	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/talus_dearic_engineers_terminal.iff	1	@quest/ground/talus_dearic_better_genetics:task05_item_name	100	10	@quest/ground/talus_dearic_better_genetics:task05_retrieve_menu_text	0																																				
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_better_genetics:task06_journal_entry_title	@quest/ground/talus_dearic_better_genetics:task06_journal_entry_description	1			0	7		better_genetics_retrieve_06_03c	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/talus_dearic_biochemists_terminal.iff	1	@quest/ground/talus_dearic_better_genetics:task06_item_name	100	5	@quest/ground/talus_dearic_better_genetics:task06_retrieve_menu_text	0																																				
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_better_genetics:task07_journal_entry_title	@quest/ground/talus_dearic_better_genetics:task07_journal_entry_description	1			0	8		better_genetics_retrieve_07_03d	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/talus_dearic_electronic_toolkit.iff	1	@quest/ground/talus_dearic_better_genetics:task07_item_name	100	5	@quest/ground/talus_dearic_better_genetics:task07_retrieve_menu_text	0																																				
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_better_genetics:task08_journal_entry_title	@quest/ground/talus_dearic_better_genetics:task08_journal_entry_description	1			0	9		better_genetics_retrieve_08_03e	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/talus_dearic_biochemists_terminal.iff	1	@quest/ground/talus_dearic_better_genetics:task08_item_name	100	20	@quest/ground/talus_dearic_better_genetics:task08_retrieve_menu_text	0																																				
quest.task.ground.show_message_box	@quest/ground/talus_dearic_better_genetics:task09_journal_entry_title	@quest/ground/talus_dearic_better_genetics:task09_journal_entry_description	1			0			better_genetics_retrieve_08_03ex	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																		@quest/ground/talus_dearic_better_genetics:task09_message_box_title	@quest/ground/talus_dearic_better_genetics:task09_message_box_text		-1	-1	-1	-1																				
