ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
quest.task.ground.comm_player	@quest/ground/talus_dearic_plea_pity:task00_journal_entry_title	@quest/ground/talus_dearic_plea_pity:task00_journal_entry_description	1			0	1,2,3		plea_pity_comm_01_01	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/talus_dearic_plea_pity:task00_comm_message_text	/object/mobile/dressed_corsec_captain_human_male_02.iff																								
quest.task.ground.destroy_multi	@quest/ground/talus_dearic_plea_pity:task01_journal_entry_title	@quest/ground/talus_dearic_plea_pity:task01_journal_entry_description	1			0			plea_pity_destroy_03_02e	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				talus_nashal_brood5a_arachne			12	0	0																		
quest.task.ground.destroy_multi	@quest/ground/talus_dearic_plea_pity:task02_journal_entry_title	@quest/ground/talus_dearic_plea_pity:task02_journal_entry_description	1			0			plea_pity_destroy_02_02f	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				talus_nashal_brood5_arachne			24	0	0																		
quest.task.ground.wait_for_tasks	@quest/ground/talus_dearic_plea_pity:task03_journal_entry_title	@quest/ground/talus_dearic_plea_pity:task03_journal_entry_description	1			0	4		plea_pity_tasks_01_02	0							1		1			1	talus	-13	0.0	-3532			@quest/ground/talus_dearic_plea_pity:task03_waypoint_name	0	0.0	0.0	0.0									0	quest/talus_dearic_plea_pity	plea_pity_destroy_02_02f	@quest/ground/talus_dearic_plea_pity:task03_task_display_string_1	quest/talus_dearic_plea_pity	plea_pity_destroy_03_02e	@quest/ground/talus_dearic_plea_pity:task03_task_display_string_2												
quest.task.ground.comm_player	@quest/ground/talus_dearic_plea_pity:task04_journal_entry_title	@quest/ground/talus_dearic_plea_pity:task04_journal_entry_description	1			0	5,6,7		plea_pity_comm_02_03	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/talus_dearic_plea_pity:task04_comm_message_text	/object/mobile/dressed_corsec_captain_human_male_02.iff																								
quest.task.ground.destroy_multi	@quest/ground/talus_dearic_plea_pity:task05_journal_entry_title	@quest/ground/talus_dearic_plea_pity:task05_journal_entry_description	1			0			plea_pity_destroy_07_04a	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				talus_nashal_brood10a_arachne			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/talus_dearic_plea_pity:task06_journal_entry_title	@quest/ground/talus_dearic_plea_pity:task06_journal_entry_description	1			0			plea_pity_destroy_06_04b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				talus_nashal_brood10_arachne			2	0	0																		
quest.task.ground.wait_for_tasks	@quest/ground/talus_dearic_plea_pity:task07_journal_entry_title	@quest/ground/talus_dearic_plea_pity:task07_journal_entry_description	1			0	8		plea_pity_tasks_02_04	0							1		1			1	talus	-13	0.0	-3532			@quest/ground/talus_dearic_plea_pity:task07_waypoint_name	0	0.0	0.0	0.0									0	quest/talus_dearic_plea_pity	plea_pity_destroy_06_04b	@quest/ground/talus_dearic_plea_pity:task07_task_display_string_1	quest/talus_dearic_plea_pity	plea_pity_destroy_07_04a	@quest/ground/talus_dearic_plea_pity:task07_task_display_string_2												
quest.task.ground.comm_player	@quest/ground/talus_dearic_plea_pity:task08_journal_entry_title	@quest/ground/talus_dearic_plea_pity:task08_journal_entry_description	1			0	9		plea_pity_comm_03_05	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/talus_dearic_plea_pity:task08_comm_message_text	/object/mobile/dressed_corsec_captain_human_male_02.iff																								
