ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	s	i	s	s	s	s	i	i	i	i	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1		selonian_find_missing_start	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																								
quest.task.ground.go_to_location	@quest/ground/talus_nashal_gather_missing:task01_journal_entry_title	@quest/ground/talus_nashal_gather_missing:task01_journal_entry_description	1			0	2		selonian_check_supply_bldg	0							1		1			1	talus	4282.7998046875	49.4000015258789	4783.7998046875	talus	mainhall	@quest/ground/talus_nashal_gather_missing:task01_waypoint_name	1	4282.39990234375	49.4000015258789	4769.2001953125	@quest/ground/talus_nashal_gather_missing:task01_entrance_waypoint_name	3	0																					
quest.task.ground.go_to_location	@quest/ground/talus_nashal_gather_missing:task02_journal_entry_title	@quest/ground/talus_nashal_gather_missing:task02_journal_entry_description	1			0	3		selonian_check_landing_pad	0							1		1			1	talus	4286.60009765625	49.4000015258789	4705.10009765625	talus	r1	@quest/ground/talus_nashal_gather_missing:task02_waypoint_name	1	4297.5	49.4000015258789	4700.60009765625	@quest/ground/talus_nashal_gather_missing:task02_entrance_waypoint_name	3	0																					
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_gather_missing:task03_journal_entry_title	@quest/ground/talus_nashal_gather_missing:task03_journal_entry_description	1			0	4		selonian_slice_flight_term	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	object/tangible/quest/talus_selonian_smuggler_flight_terminal.iff	1	@quest/ground/talus_nashal_gather_missing:task03_item_name	100	@quest/ground/talus_nashal_gather_missing:task03_retrieve_menu_text																
quest.task.ground.show_message_box	@quest/ground/talus_nashal_gather_missing:task04_journal_entry_title	@quest/ground/talus_nashal_gather_missing:task04_journal_entry_description	1			0	5		selonian_flight_plan_entry	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0									@quest/ground/talus_nashal_gather_missing:task04_message_box_title	@quest/ground/talus_nashal_gather_missing:task04_message_box_text		-1	-1	-1	-1									
quest.task.ground.go_to_location	@quest/ground/talus_nashal_gather_missing:task05_journal_entry_title	@quest/ground/talus_nashal_gather_missing:task05_journal_entry_description	1			0	6		selonian_check_quarters	0							1		1			1	talus	4255.5	49.4000015258789	4748.39990234375	talus	mainhall	@quest/ground/talus_nashal_gather_missing:task05_waypoint_name	1	4267.2998046875	49.4000015258789	4748.10009765625	@quest/ground/talus_nashal_gather_missing:task05_entrance_waypoint_name	3	0																					
quest.task.ground.wait_for_signal	@quest/ground/talus_nashal_gather_missing:task06_journal_entry_title	@quest/ground/talus_nashal_gather_missing:task06_journal_entry_description	1			0	7		selonian_talk_smuggler	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0													selonian_talk_smuggler	0			0		0	0	0
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_gather_missing:task07_journal_entry_title	@quest/ground/talus_nashal_gather_missing:task07_journal_entry_description	1			0	8		selonian_cargo_computer	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	object/tangible/quest/talus_selonian_smuggler_cargo_computer.iff	1	@quest/ground/talus_nashal_gather_missing:task07_item_name	100	@quest/ground/talus_nashal_gather_missing:task07_retrieve_menu_text																
quest.task.ground.show_message_box	@quest/ground/talus_nashal_gather_missing:task08_journal_entry_title	@quest/ground/talus_nashal_gather_missing:task08_journal_entry_description	1			0	9		selonian_search_cargo_database	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0									@quest/ground/talus_nashal_gather_missing:task08_message_box_title	@quest/ground/talus_nashal_gather_missing:task08_message_box_text		-1	-1	-1	-1									
quest.task.ground.wait_for_signal	@quest/ground/talus_nashal_gather_missing:task09_journal_entry_title	@quest/ground/talus_nashal_gather_missing:task09_journal_entry_description	1			0	10		selonian_return_lika	0							1		1			1	talus	4771.7998046875	-21.7000007629395	5128.89990234375	talus	r8	@quest/ground/talus_nashal_gather_missing:task09_waypoint_name	1	4962.60009765625	67.5	5199.5	@quest/ground/talus_nashal_gather_missing:task09_entrance_waypoint_name		0													selonian_return_lika	0			0		0	0	0
quest.task.ground.complete_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																								
