ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	i	i	i	s	s
quest.task.ground.wait_for_signal	@quest/ground/tatooine_eisley_tdc:task00_journal_entry_title	@quest/ground/tatooine_eisley_tdc:task00_journal_entry_description	1			0	1		tat_eisley_tdc_e1	1							1		1			1	tatooine	3259	0.0	-4863			@quest/ground/tatooine_eisley_tdc:task00_waypoint_name	0	0.0	0.0	0.0		tat_eisley_tdc_e1	0			0		0	0	0	0								
quest.task.ground.comm_player	@quest/ground/tatooine_eisley_tdc:task01_journal_entry_title	@quest/ground/tatooine_eisley_tdc:task01_journal_entry_description	1			0	2		tat_eisley_tdc_e2	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/tatooine_eisley_tdc:task01_comm_message_text	object/mobile/dressed_tatooine_opening_byxle.iff						
quest.task.ground.wait_for_signal	@quest/ground/tatooine_eisley_tdc:task02_journal_entry_title	@quest/ground/tatooine_eisley_tdc:task02_journal_entry_description	1			0	3		tat_eisley_tdc_e3	1							1		1			1	tatooine	3450	0.0	-5077			@quest/ground/tatooine_eisley_tdc:task02_waypoint_name	0	0.0	0.0	0.0		tat_eisley_tdc_e3	0			0		0	0	0	0								
quest.task.ground.comm_player	@quest/ground/tatooine_eisley_tdc:task03_journal_entry_title	@quest/ground/tatooine_eisley_tdc:task03_journal_entry_description	1			0	4		tat_eisley_tdc_e4	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/tatooine_eisley_tdc:task03_comm_message_text	object/mobile/dressed_tatooine_opening_byxle.iff						
quest.task.ground.wait_for_signal	@quest/ground/tatooine_eisley_tdc:task04_journal_entry_title	@quest/ground/tatooine_eisley_tdc:task04_journal_entry_description	1			0	5,6		tat_eisley_tdc_e5	0							1		1			1	tatooine	3186	0.0	-4781			@quest/ground/tatooine_eisley_tdc:task04_waypoint_name	0	0.0	0.0	0.0		tat_eisley_tdc_e5	0			0		0	0	0	0								
quest.task.ground.encounter	@quest/ground/tatooine_eisley_tdc:task05_journal_entry_title	@quest/ground/tatooine_eisley_tdc:task05_journal_entry_description	0			0			tat_eisley_tdc_e6	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0			chuba	4	2	5	0.0	0.0
quest.task.ground.wait_for_signal	@quest/ground/tatooine_eisley_tdc:task06_journal_entry_title	@quest/ground/tatooine_eisley_tdc:task06_journal_entry_description	1			0	7		tat_eisley_tdc_e7	1							1		1			1	tatooine	3186	0.0	-4781			@quest/ground/tatooine_eisley_tdc:task06_waypoint_name	0	0.0	0.0	0.0		tat_eisley_tdc_e7	0			0		0	0	0	0								
quest.task.ground.comm_player	@quest/ground/tatooine_eisley_tdc:task07_journal_entry_title	@quest/ground/tatooine_eisley_tdc:task07_journal_entry_description	1			0	8		tat_eisley_tdc_e8	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/tatooine_eisley_tdc:task07_comm_message_text	object/mobile/dressed_tatooine_opening_byxle.iff						
quest.task.ground.wait_for_signal	@quest/ground/tatooine_eisley_tdc:task08_journal_entry_title	@quest/ground/tatooine_eisley_tdc:task08_journal_entry_description	1			0	9		tat_eisley_tdc_e9	1							1		1			1	tatooine	3366	0.0	-4639			@quest/ground/tatooine_eisley_tdc:task08_waypoint_name	0	0.0	0.0	0.0		tat_eisley_tdc_e9	0			0		0	0	0	0								
quest.task.ground.complete_quest	@quest/ground/tatooine_eisley_tdc:task09_journal_entry_title	@quest/ground/tatooine_eisley_tdc:task09_journal_entry_description	0			0			tat_eisley_tdc_e10	1							1		1			0	tatooine	3402	0.0	-4911			@quest/ground/tatooine_eisley_tdc:task09_waypoint_name	0	0.0	0.0	0.0																			
