ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	i	s	s	s	s	s	i	i	s	b	s	s	s	s	f	f	f
quest.task.ground.go_to_location	@quest/ground/typho_marine_two:task00_journal_entry_title	@quest/ground/typho_marine_two:task00_journal_entry_description	1			0	1			1							1		1			1	naboo	2850	95	1083			@quest/ground/typho_marine_two:task00_waypoint_name	10.0	0																
quest.task.ground.comm_player			0			0	2			0							1		1			0	tatooine	0.0	0.0	0.0						@quest/ground/typho_marine_two:task01_comm_message_text	object/mobile/typho.iff														
quest.task.ground.destroy_multi	@quest/ground/typho_marine_two:task02_journal_entry_title	@quest/ground/typho_marine_two:task02_journal_entry_description	1			0	3			1							1		1			1	naboo	2850	95	1083			@quest/ground/typho_marine_two:task02_waypoint_name		0			legacy_naboo_typho_zolo_sartain			1	0									
quest.task.ground.comm_player			0			0	4			0							1		1			0	tatooine	0.0	0.0	0.0						@quest/ground/typho_marine_two:task03_comm_message_text	object/mobile/typho.iff														
quest.task.ground.destroy_multi	@quest/ground/typho_marine_two:task04_journal_entry_title	@quest/ground/typho_marine_two:task04_journal_entry_description	1			0	5			1							1		1			1	naboo	2850	95	1083			@quest/ground/typho_marine_two:task04_waypoint_name		0			legacy_naboo_typho_yarick_tempol			1	0									
quest.task.ground.comm_player			0			0	6			0							1		1			0	tatooine	0.0	0.0	0.0						@quest/ground/typho_marine_two:task05_comm_message_text	object/mobile/typho.iff														
quest.task.ground.destroy_multi	@quest/ground/typho_marine_two:task06_journal_entry_title	@quest/ground/typho_marine_two:task06_journal_entry_description	1			0	7			1							1		1			1	naboo	2850	95	1083			@quest/ground/typho_marine_two:task06_waypoint_name		0			legacy_naboo_typho_xylan_keechoap			1	0									
quest.task.ground.comm_player			0			0	8			0							1		1			0	tatooine	0.0	0.0	0.0						@quest/ground/typho_marine_two:task07_comm_message_text	object/mobile/typho.iff														
quest.task.ground.destroy_multi	@quest/ground/typho_marine_two:task08_journal_entry_title	@quest/ground/typho_marine_two:task08_journal_entry_description	1			0	9			0							1		1			1	naboo	2850	95	1083			@quest/ground/typho_marine_two:task08_waypoint_name		0			legacy_naboo_typho_walus_mutin			1	0									
quest.task.ground.comm_player			0			0	10			0							1		1			0	tatooine	0.0	0.0	0.0						@quest/ground/typho_marine_two:task09_comm_message_text	object/mobile/typho.iff														
quest.task.ground.wait_for_signal	@quest/ground/typho_marine_two:task10_journal_entry_title	@quest/ground/typho_marine_two:task10_journal_entry_description	1			0			killedMaulerLeaders	0							1		1			1	naboo	1791	12	2712			@quest/ground/typho_marine_two:task10_waypoint_name		0								killedMaulerLeaders	0			0		0	0	0
