ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	i	S	S	S	S	s	i	i
quest.task.ground.wait_for_signal	@quest/ground/yavin_fallenstar_pt3:task00_journal_entry_title	@quest/ground/yavin_fallenstar_pt3:task00_journal_entry_description	0			0	1,4,7		yavin_fallenstar_e14_interception	1							1		1	0	tatooine	0.0	0.0	0.0		yavin_fallenStar_launch_e19	0			0		0	0	0																
quest.task.ground.wait_for_signal	@quest/ground/yavin_fallenstar_pt3:task01_journal_entry_title	@quest/ground/yavin_fallenstar_pt3:task01_journal_entry_description	0			0	2		yavin_fallenstar_e20_imperial_reward	0							1		1	0	tatooine	0.0	0.0	0.0		yavin_fallenStar_launch_e22	0			0		0	0	0																
quest.task.ground.reward	@quest/ground/yavin_fallenstar_pt3:task02_journal_entry_title		0			0	3		yavin_fallenstar_e23_impreward	1							1		1	0	tatooine	0.0	0.0	0.0												0	jabba	2500	10000		1		1	0.1	0.1	0.1	0.1		1	0.1
quest.task.ground.complete_quest			1			0			yavin_fallenstar_e32	0							1		1	0	tatooine	0.0	0.0	0.0																										
quest.task.ground.wait_for_signal	@quest/ground/yavin_fallenstar_pt3:task04_journal_entry_title	@quest/ground/yavin_fallenstar_pt3:task04_journal_entry_description	0			0	5		yavin_fallenstar_e19_rebelchoice	0							1		1	0	tatooine	0.0	0.0	0.0		yavin_fallenStar_launch_e21	0			0		0	0	0																
quest.task.ground.reward	@quest/ground/yavin_fallenstar_pt3:task05_journal_entry_title		0			0	6		yavin_fallenstar_e23_rebelreward	1							1		1	0	tatooine	0.0	0.0	0.0												0	jabba	2500	10000		1		1	0.1	0.1	0.1	0.1		1	0.1
quest.task.ground.complete_quest	@quest/ground/yavin_fallenstar_pt3:task06_journal_entry_title		0			0			yavin_fallenstar_e30	1							1		1	0	tatooine	0.0	0.0	0.0																										
quest.task.ground.wait_for_signal	@quest/ground/yavin_fallenstar_pt3:task07_journal_entry_title	@quest/ground/yavin_fallenstar_pt3:task07_journal_entry_description	0			0	8		yavin_fallenstar_e36_walkaway	0							1		1	0	tatooine	0.0	0.0	0.0		yavin_fallenstar_launch_e35	0			0		0	0	0																
quest.task.ground.complete_quest			1			0			yavin_fallenstar_e35	0							1		1	0	tatooine	0.0	0.0	0.0																										
