Name	Type	SplineControlPoints	CenterLocationX	CenterLocationY	CenterLocationZ	Radius	FlattenDepth	FaceTowards	NumAsteroids	RandomSeed	ScaleMin	ScaleMax	RotationMin	RotationMax	FieldStyleTable	RadialStyleTable	NumRadialAsteroids	MaxViewableDistance	ViewAllDistance	SoundEffect
s	"e(cube=1,spline=2)[cube]"	s	f	f	f	f	f[-1]	s	I	I	f	f	f	f	s	s	i	f	f	s
	cube		-3900	-2500	-3450	200			10	7354	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		-3300	-2500	-3500	150			10	6731	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		-1200	-200	510	378			24	5733	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	10	8000	1000	sound/amb_ast_large_field.snd
	cube		500	-300	500	312			25	9987	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		-100	220	-3700	200			8	1555	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		300	180	-3350	250			17	2999	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		300	-400	-750	350			23	3500	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		800	0	0	380			24	9999	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		800	100	-2850	300			21	3333	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		900	-200	-1350	350			24	5555	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		1468	1794	3992	300			23	4567	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		1800	-50	-1900	350			24	5800	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	25	8000	1000	sound/amb_ast_large_field.snd
	cube		1810	1560	3258	320			25	8746	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	23	8000	1000	sound/amb_ast_large_field.snd
	cube		2100	-150	-2500	320			26	5600	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		2274	1240	2308	350			27	5801	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		2600	-225	-2850	300			22	3334	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		2842	1448	2543	300			25	4668	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		2900	-300	-3000	200			12	1556	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		3034	1582	3423	290			26	7764	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		3439	1674	3342	350			25	5324	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		3672	1792	2679	350			15	3354	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	8000	1000	sound/amb_ast_large_field.snd
	cube		3710	1810	3984	300			25	4432	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	45	8000	1000	sound/amb_ast_large_field.snd
