Name	Type	SplineControlPoints	CenterLocationX	CenterLocationY	CenterLocationZ	Radius	FlattenDepth	FaceTowards	NumAsteroids	RandomSeed	ScaleMin	ScaleMax	RotationMin	RotationMax	FieldStyleTable	RadialStyleTable	NumRadialAsteroids	MaxViewableDistance	ViewAllDistance	SoundEffect
s	"e(cube=1,spline=2)[cube]"	s	f	f	f	f	f[-1]	s	I	I	f	f	f	f	s	s	i	f	f	s
	cube		-2700	400	-400	500			82	5512	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_molten_small.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	62	8000	1000	sound/amb_ast_large_field.snd
	cube		-2500	-200	2000	600			60	2123	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_molten_small.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	14	8000	1000	sound/amb_ast_large_field.snd
	cube		-400	120	3100	400			60	1231	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_molten_small.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	8	8000	1000	sound/amb_ast_large_field.snd
	cube		2700	-400	400	600			82	2113	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_molten_small.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	18	8000	1000	sound/amb_ast_large_field.snd
	cube		2500	200	-2000	700			93	3441	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_molten_small.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	24	8000	1000	sound/amb_ast_large_field.snd
	cube		400	-120	-3100	700			60	5611	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_molten_small.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	38	8000	1000	sound/amb_ast_large_field.snd
astroid_field_01	cube		-5152	-498	6589	200			15	2056	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_molten_small.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	15	8000	1000	sound/amb_ast_large_field.snd
	spline	"4256,-3232,4345:4556,-3632,5645:4800,-3932,6945"	4256	-3232	4345	300			60	6179	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_molten_small.iff	datatables/space/asteroidfield/fieldstyle/radial_molten_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	spline	"-5000,5000,-5000:-4000,4000,-4000:-3000,3000,-3000"	-5000	5000	-5000	300			70	8741	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_molten_small.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_tie_asteroid.iff	55	8000	1000	sound/amb_ast_large_field.snd
magma_astroidfield	spline	"-8000,-8000,-7737:-6790,-6142,-7080:-6049,-3335,-6949:-4531,-1705,-6751:-1843,425,-6542"	-6049	-3335	-6949	100			40	7777	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_molten_small.iff	datatables/space/asteroidfield/fieldstyle/radial_molten_asteroid_s01.iff	25	8000	1000	sound/amb_ast_large_field.snd
magma_astroidfield_2	spline	"-3314,1696,-7894:-3306,-513,-6861:-3297,-2995,-5700"	-3306	-513	-6861	100			40	8888	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_molten_small.iff	datatables/space/asteroidfield/fieldstyle/radial_molten_asteroid_s01.iff	25	8000	1000	sound/amb_ast_large_field.snd
magma_rebel_asteroid_field	cube		7092	-1450	1750	1500			60	9999	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_molten_mammoth.iff	datatables/space/asteroidfield/fieldstyle/radial_molten_asteroid_s01.iff	30	8000	1000	sound/amb_ast_large_field.snd
