name	x	y	z	radius	density	facingPercent	facingA	facingR	facingG	facingB	facingRampA	facingRampR	facingRampG	facingRampB	orientedA	orientedR	orientedG	orientedB	orientedRampA	orientedRampR	orientedRampG	orientedRampB	ambientSound	ambientSoundVolume	cameraJitter	effectReactor	effectEngine	effectShields	lightningFrequency	lightningDurationMax	lightningDamageMin	lightningDamageMax	lightningAppearace	lightningA	lightningR	lightningG	lightningB	lightningRampA	lightningRampR	lightningRampG	lightningRampB	lightningSound	lightningSoundLoop	lightningHitEffectClient	lightningHitEffectServer	environmentalDamageFrequency	environmentalDamage	environmentalDamageEffect	shaderIndex
s	f	f	f	f	f	f[0.5]	f[1]	f	f	f	f[1]	f	f	f	f[1]	f	f	f	f[1]	f	f	f	s	f	f	f	f	f	f	f[1.0]	f	f	s	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	s	s	s	s	f	f	s	i
pirate_main	-2700	-400	-2000	600	0.5	1	1	0.25	0.7	0.5	0.65	0.2	0.55	0.5	0.5	0.1	0.6	0.5	0.5	0.15	0.55	0.3	sound/wtr_tornado_large_lp.snd	0.5	0.4				0.7	3	40	105	appearance/pt_nebulae_white_02.ltn	0.25	0.55	0.5	0.75	0.65	0.85	0.65	0.55	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
pirate_add	-2400	-400	-1600	900	0.5	1	1	0.55	0.3	0.5	0.55	0.15	0.3	0.55	0.65	0.3	0.15	0.45	0.5	0.55	0.15	0.35	sound/wtr_tornado_large_lp.snd	0.3	0.1				0.3	3	20	68	appearance/pt_nebulae_white_02.ltn	0.25	0.5	0.5	0.75	0.75	0.85	0.65	0.9	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
pirate_add_two	-2000	-400	-1200	1300	1	1	1	0.3	0.4	0.8	0.55	0.15	0.55	0.8	0.75	0.1	0.3	0.65	1	0.15	0.45	0.6	sound/wtr_tornado_large_lp.snd	0.2	0.1				0.2	3	20	68	appearance/pt_nebulae_white_02.ltn	0.25	0.7	0.5	0.25	0.75	0.55	0.7	0.25	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
yellow_nebula_main	4512	-4220	10321	1000	1	0.7	0.5	0.5	0.5	0.5	0.5	0.5	0.65	0.15	0.4	0.3	0.5	0.12	0.5	0.35	0.2	0.65	sound/wtr_tornado_large_lp.snd	0.5	0.6				0.3	3	10	30	appearance/pt_nebulae_white_02.ltn	0.5	1	0.75	0.25	0.55	0.75	0.7	1	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
yellow_nebula_main_a	4513	-4219	10322	750	1	0.3	0.1	0.5	0.55	0.2	0.3	0.5	0.5	1.5	0.3	0.5	0.5	1.4	0.3	1.35	0.5	0.5	sound/wtr_tornado_large_lp.snd	0.5	0.8				0.7	3	35	50	appearance/pt_nebulae_white_02.ltn	0.5	1	0.85	0.5	0.75	0.75	0.7	1	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
yellow_nebula_main_b	4514	-4218	10323	300	1	0.3	0.1	0.5	0.65	0.2	0.3	0.5	0.7	0.45	0.3	0.5	0.7	0.5	0.3	0.5	0.75	0.5	sound/wtr_tornado_large_lp.snd	0.7	1				1	3	70	100	appearance/pt_nebulae_white_02.ltn	0.5	1	0.75	0.25	0.75	0.75	0.8	1	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
yellow_nebula_main_outer	4512	-4220	10321	1300	1	0.25	0.5	0.2	0.5	0.35	0.2	0.5	0.75	0.1	0.35	0.4	0.7	0.25	0.2	0.5	0.75	0.35	sound/wtr_tornado_large_lp.snd	0.2	0.2				0.3	3	10	20	appearance/pt_nebulae_white_02.ltn	0.5	1	0.5	0.5	0.75	0.75	0.8	1	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
dark_tempest_mass	-7000	-7000	-7000	3200	1	1	0.4	0	0	0	1	0.05	0.05	0.05	1	0.8	0.3	1	1	0.5	0.25	0.75	sound/wtr_tornado_large_lp.snd	0.2	0.2				0.9	3	10	20	appearance/pt_nebulae_white_02.ltn	0.7	1	0.85	0.5	0.6	0.8	0.7	55	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
dark_tempest_core_1	-7000	-7000	-7000	700	1	0.8	0.5	0	0	0	0.5	0.05	0.05	0.05	0.2	0.1	0.2	0.5	0.5	0.5	0.5	0.5	sound/wtr_tornado_large_lp.snd	0.2	0.2				0.9	3	10	20	appearance/pt_nebulae_white_02.ltn	0.55	1	0.5	0.5	0.2	0.85	0.5	0.8	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
