name	x	y	z	radius	density	facingPercent	facingA	facingR	facingG	facingB	facingRampA	facingRampR	facingRampG	facingRampB	orientedA	orientedR	orientedG	orientedB	orientedRampA	orientedRampR	orientedRampG	orientedRampB	ambientSound	ambientSoundVolume	cameraJitter	effectReactor	effectEngine	effectShields	lightningFrequency	lightningDurationMax	lightningDamageMin	lightningDamageMax	lightningAppearace	lightningA	lightningR	lightningG	lightningB	lightningRampA	lightningRampR	lightningRampG	lightningRampB	lightningSound	lightningSoundLoop	lightningHitEffectClient	lightningHitEffectServer	environmentalDamageFrequency	environmentalDamage	environmentalDamageEffect	shaderIndex
s	f	f	f	f	f	f[0.5]	f[1]	f	f	f	f[1]	f	f	f	f[1]	f	f	f	f[1]	f	f	f	s	f	f	f	f	f	f	f[1.0]	f	f	s	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	s	s	s	s	f	f	s	i
main	-4000	4000	0	4000	1			0.8	0.8	0.65	0.2	0.8	0.8	0.7		1	1	0.7		1	1	0.7	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
main_right_down	-3500	3000	2000	3000	0.6			0.8	0.65	0.75	0.2	0.8	0.8	0.6		1	1	0.8		1	1	0.8	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
main_right_down_2	-3000	2000	3000	3000	0.7		0.8	0.8	0.75	0.55	0.2	0.8	0.8	0.7		1	1	0.9		1	1	0.9	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
main_right_down_3	-2500	1500	5000	2000	0.7		0.6	0.8	0.75	0.55	0.2	0.8	0.8	0.7	0.8	1	1	0.9	0.8	1	1	0.9	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
main_right_down_3.1	-2000	1000	6000	2000	0.7		0.3	0.8	0.75	0.55	0.2	0.8	0.8	0.7	0.8	1	1	0.9	0.8	1	1	0.9	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
main_left_up	-4000	5000	-2000	3000	0.8			0.8	0.75	0.55	0.2	0.8	0.8	0.7		1	1	0.8		1	1	0.8	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
main_left_up_2	-3000	5000	-4000	3000	0.7			0.8	0.75	0.55	0.2	0.8	0.8	0.7		1	1	0.9		1	1	0.9	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
add	-2000	3000	0	2000	0.8	0.35	0.25	0.4	0.35	0.2	0.2	0.8	0.8	0.5	0.4	1	0.8	0.5		1	0.8	0.5	sound/amb_neb_desert_sands_lp.snd	0.5																									0
add_right_down_block	-1500	2000	2000	1500	0.5	0.25	0.2	0.6	0.6	0.4	0.2	0.8	0.7	0.8		1	1	0.8		1	1	0.8	sound/amb_neb_desert_sands_lp.snd	0.5																									1
add_right_down_2	-1000	1000	3000	1500	0.4	0.3	0.2	0.6	0.5	0.4	0.2	0.8	0.8	0.5	0.2	1	0.8	0.5		1	0.8	0.5	sound/amb_neb_desert_sands_lp.snd	0.5																									0
add_left_up	-2000	4000	-2000	1500	0.4	0.25	0.2	0.6	0.6	0.45	0.2	0.8	0.8	0.5	0.2	0.8	0.6	0.4		1	0.8	0.5	sound/amb_neb_desert_sands_lp.snd	0.5																									0
add_left_up_2	-1000	3000	-2500	1500	0.7	0.25	0.2	0.8	0.8	0.5	0.2	0.8	0.8	0.5	0.2	1	0.8	0.5		1	0.8	0.5	sound/amb_neb_desert_sands_lp.snd	0.5																									0
smuggler_1	3220	-32	4735	1200	0.85	0.65	0.8	0.85	0.35	0.4	0.2	0.8	0.65	0.4	0.5	1	0.5	0.4	0.8	0.8	0.7	0.5	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.65	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
smuggler_2	2455	3	4390	1000	0.6	0.7	0.8	0.8	0.85	0.3	0.2	1	0.5	0.6	0.5	0.8	0.6	0.4	0.8	0.5	0.7	0.5	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.65	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
smuggler_3	2140	-87	3828	800	0.8	0.6	0.5	0.7	0.5	0.25	0.2	1	0.75	0.4	0.5	1	0.5	0.6	0.8	0.7	0.6	0.5	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.65	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
smuggler_4	2528	-180	2967	700	0.7	0.3	0.8	0.8	0.6	0.35	0.2	1	0.65	0.6	0.5	1	0.7	0.6	0.8	0.8	0.7	0.5	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.65	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
smuggler_5	2921	-289	2600	500	0.6	0.2	0.8	0.8	0.55	0.4	0.2	1	0.4	0.6	0.5	1	0.5	0.6	0.8	0.4	0.6	0.5	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.65	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
iron_roid_1	2500	-1500	150	924	0.4	0.6		0.75	0.55	0.3	0.2	0.6	0.7	0.3	0.8	0.6	0.7	0.3	0.8	0.6	0.7	0.3	sound/amb_neb_desert_sands_lp.snd	0.5																									1
iron_roid_2	2000	-1000	230	712	0.5	0.8		0.6	0.4	0.3	0.2	0.6	0.7	0.3	0.8	0.6	0.7	0.3	0.8	0.6	0.7	0.3	sound/amb_neb_desert_sands_lp.snd	0.5																									1
iron_roid_3	1500	-1320	350	697	0.3	0.2		0.6	0.4	0.3	0.2	0.6	0.7	0.3	0.8	0.6	0.7	0.3	0.8	0.6	0.7	0.3	sound/amb_neb_desert_sands_lp.snd	0.5																									1
iron_planetoid	2100	-2150	-100	1260	0.4	0.2		0.6	0.4	0.3	0.2	0.6	0.7	0.3	0.8	0.6	0.7	0.3	0.8	0.6	0.7	0.3	sound/amb_neb_desert_sands_lp.snd	0.5																									1
imp_nebula_1	-3500	-2000	3200	720	0.8			0.8	0.7	0.55	0.2	1	1	0.8		1	1	0.8		1	1	0.8	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
imp_nebula_2	-3000	-1460	3000	1000	0.7		0.8	0.8	0.8	0.7	0.2	1	1	0.9		1	1	0.9		1	1	0.9	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
imp_nebula_3	-2500	-210	2500	1200	0.7		0.6	0.8	0.8	0.7	0.2	1	1	0.9	0.8	1	1	0.9	0.8	1	1	0.9	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
imp_nebula_4	-3000	120	2000	640	0.7		0.3	0.8	0.8	0.7	0.2	1	1	0.9	0.8	1	1	0.9	0.8	1	1	0.9	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
imp_nebula_5	-3500	256	3500	610	0.6			0.8	0.8	0.8	0.2	1	1	0.8		1	1	0.8		1	1	0.8	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	10	57	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
pirate_1	-2900	-2900	-2900	1200	1	0.1	0.8	0.7	0.5	0.2	0.2	1	1	0.9	0.8	0.8	0.6	0.3	0.8	1	1	0.9	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	20	85	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
pirate_2	-2800	-2700	-2800	1000	0.6	0.4	0.8	0.7	0.5	0.2	0.2	1	1	0.9	0.8	0.8	0.6	0.3	0.8	1	1	0.9	sound/amb_neb_desert_sands_lp.snd	0.5					0.1	2	20	85	appearance/pt_nebulae_white_02.ltn	0.2	1	0.5	0.2	0.4	1	0.8	0.2	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
