name	x	y	z	radius	density	facingPercent	facingA	facingR	facingG	facingB	facingRampA	facingRampR	facingRampG	facingRampB	orientedA	orientedR	orientedG	orientedB	orientedRampA	orientedRampR	orientedRampG	orientedRampB	ambientSound	ambientSoundVolume	cameraJitter	effectReactor	effectEngine	effectShields	lightningFrequency	lightningDurationMax	lightningDamageMin	lightningDamageMax	lightningAppearace	lightningA	lightningR	lightningG	lightningB	lightningRampA	lightningRampR	lightningRampG	lightningRampB	lightningSound	lightningSoundLoop	lightningHitEffectClient	lightningHitEffectServer	environmentalDamageFrequency	environmentalDamage	environmentalDamageEffect	shaderIndex
s	f	f	f	f	f	f[0.5]	f[1]	f	f	f	f[1]	f	f	f	f[1]	f	f	f	f[1]	f	f	f	s	f	f	f	f	f	f	f[1.0]	f	f	s	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	s	s	s	s	f	f	s	i
main	-2700	-4000	-400	1870	0.7		0.3	1	0.4	0.6		1	0.8	0.8	0.3	1	0.4	0.3		1	0.8	0.8	sound/amb_neb_desert_sands_lp.snd	0.4					0.4	3	87	198	appearance/pt_nebulae_white_02.ltn	0.1	1	1	1	0.4	0	1	1	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
main_right	-2500	-3500	2000	2120	0.7		0.3	1	0.5	0.5		1	0.8	0.8	0.7	1	0.5	0.3		1	0.8	0.8	sound/amb_neb_desert_sands_lp.snd	0.5					0.4	3	108	241	appearance/pt_nebulae_white_02.ltn	0.1	1	1	1	0.4	0	1	1	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
main_right	-1700	-3000	2850	2541	0.7		0.3	1	0.6	0.6		1	0.8	0.8	0.3	1	0.6	0.3		1	0.8	0.8	sound/amb_neb_desert_sands_lp.snd	0.3					0.4	3	162	321	appearance/pt_nebulae_white_02.ltn	0.1	1	1	1	0.4	0	1	1	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
far_orange	2300	-600	1200	1560	0.6		0.3	0.1	0.6	0.8		0.1	0.3	0.6	0.7	0.1	0.8	0.5		0.1	0.6	0.5	sound/amb_neb_desert_sands_lp.snd	0.3					0.1	6	20	30	appearance/pt_nebulae_white_02.ltn	0.1	1	1	1	0.1	0	1	1	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
more_orange	3200	400	1600	1750	0.8		0.3	0.1	0.6	0.8		0.1	0.3	0.6	0.7	0.1	0.8	0.6		0.1	0.9	0.7	sound/amb_neb_desert_sands_lp.snd	0.3					0.1	6	40	45	appearance/pt_nebulae_white_02.ltn	0.1	1	1	1	0.1	0	1	1	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
smuggler_nebula_1	8615	5902	3692	2000	0.5	0.5	0.8	0.9	0.1	0.4	0.5	0.7	0.1	0.3	0.6	0.9	0.1	0.5	0.5	0.5	0.3	1	sound/amb_neb_desert_sands_lp.snd	0.3					0.1	6	5	15	appearance/pt_nebulae_white_02.ltn	0.1	1	1	1	0.1	0	1	1	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
smuggler_nebula_2	7828	4854	2946	2000	0.2	0.5	0.7	0.9	0.1	0.4	0.5	0.7	0.1	0.3	0.6	0.9	0.1	0.5	0.5	0.5	0.3	1	sound/amb_neb_desert_sands_lp.snd	0.3					0.1	6	5	15	appearance/pt_nebulae_white_02.ltn	0.1	1	1	1	0.1	0	1	1	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
smuggler_nebula_3	7548	3384	1215	2000	0.5	0.5	0.8	0.9	0.1	0.4	0.5	0.7	0.1	0.3	0.6	0.9	0.1	0.5	0.5	0.5	0.3	1	sound/amb_neb_desert_sands_lp.snd	0.3					0.1	6	5	15	appearance/pt_nebulae_white_02.ltn	0.1	1	1	1	0.1	0	1	1	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
smuggler_nebula_4	7325	2515	80	2000	0.2	0.5	0.7	0.9	0.1	0.4	0.5	0.7	0.1	0.3	0.6	0.9	0.1	0.5	0.5	0.5	0.3	1	sound/amb_neb_desert_sands_lp.snd	0.3					0.1	6	5	15	appearance/pt_nebulae_white_02.ltn	0.1	1	1	1	0.1	0	1	1	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
