component	engine	weapon_0	weapon_1
s	s	s	s
eng_crafted_incom_fusialthrust	ykl37r_engine_s01:engine1		
eng_crafted_novaldex_eventhorizon	ykl37r_engine_s01:engine1		
eng_crafted_qualdex_kyromaster	ykl37r_engine_s01:engine1		
eng_cygnus_hd7	ykl37r_engine_s01:engine1		
eng_damorian_rx7	ykl37r_engine_s01:engine1		
eng_incom_e16	ykl37r_engine_s01:engine1		
eng_incom_fusialthrust	ykl37r_engine_s01:engine1		
eng_koensayr_ionjet	ykl37r_engine_s01:engine1		
eng_kongar_defender	ykl37r_engine_s01:engine1		
eng_kuat_a9x	ykl37r_engine_s01:engine1		
eng_kuat_f31	ykl37r_engine_s01:engine1		
eng_kuat_tc40	ykl37r_engine_s01:engine1		
eng_mk1	ykl37r_engine_s01:engine1		
eng_mk2	ykl37r_engine_s01:engine1		
eng_mk3	ykl37r_engine_s01:engine1		
eng_mk4	ykl37r_engine_s01:engine1		
eng_mk5	ykl37r_engine_s01:engine1		
eng_novaldex_eventhorizon	ykl37r_engine_s01:engine1		
eng_novaldex_singularity	ykl37r_engine_s01:engine1		
eng_novaldex_x12	ykl37r_engine_s01:engine1		
eng_nubian_221	ykl37r_engine_s01:engine1		
eng_nubian_221_racing_mod	ykl37r_engine_s01:engine1		
eng_qualdex_a10	ykl37r_engine_s01:engine1		
eng_qualdex_igt	ykl37r_engine_s01:engine1		
eng_qualdex_kyromaster	ykl37r_engine_s01:engine1		
eng_seinar_ps56	ykl37r_engine_s01:engine1		
eng_surronian_a2	ykl37r_engine_s01:engine1		
eng_surronian_a25	ykl37r_engine_s01:engine1		
eng_ubrikkian_n2	ykl37r_engine_s01:engine1		
wpn_armek_sw4		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_armek_sw7		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_awing_blaster		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_borstel_rg9		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_corellian_1d		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_corellian_ag1g_laser		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_corellian_ag2g_quad_laser		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_crafted_incom_disruptor		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_crafted_slayn_ioncannon		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_crafted_subpro_tripleblaster		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_gyrhil_auto_blaster		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_gyrhil_r9x		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_heavy_blaster		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_heavy_ioncannon		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
