Name	SatFile	SoundFile	ServerFile	SharedFile
s	s	s	s	s
aqualish_f_01	appearance/aqualish_f_01.sat	text/sounds/female_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
aqualish_f_02	appearance/aqualish_f_02.sat	text/sounds/female_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
aqualish_f_03	appearance/aqualish_f_03.sat	text/sounds/female_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
aqualish_m_01	appearance/aqualish_m_01.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
aqualish_m_02	appearance/aqualish_m_02.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
aqualish_m_03	appearance/aqualish_m_03.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
arcona_m	appearance/arcona_m.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
4lom	appearance/4lom.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
ackbar	appearance/ackbar.sat	text/sounds/moncal_male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
asn_121	appearance/asn_121.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
astromech_r2	appearance/astromech_r2.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
astromech_r2_waiter_s1	appearance/astromech_r2_waiter_s1.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
astromech_r3	appearance/astromech_r3.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
astromech_r4	appearance/astromech_r4.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
astromech_r5	appearance/astromech_r5.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
at_at	appearance/at_at.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
at_st	appearance/at_st.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
barada	appearance/barada.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
battle_droid	appearance/battle_droid.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
beek	appearance/beek.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
bib_fortuna	appearance/bib_fortuna.sat	text/sounds/twilek_male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
bith_f	appearance/bith_f.sat	text/sounds/bith_female_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
bith_m	appearance/bith_m.sat	text/sounds/bith_male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
blastromech	appearance/blastromech.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
boba_fett	appearance/boba_fett.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
bossk	appearance/bossk.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
boss_nass	appearance/boss_nass.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
bth_f	appearance/bth_f.sat	text/sounds/bothan_female_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
bth_m	appearance/bth_m.sat	text/sounds/bothan_male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
c3po	appearance/c3po.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
chadra_fan_f	appearance/chadra_fan_f.sat	text/sounds/female_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
chadra_fan_m	appearance/chadra_fan_m.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
charal	appearance/charal.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
chevin_m	appearance/chevin_m.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
chewbacca	appearance/chewbacca.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
chiss_f	appearance/chiss_f.sat	text/sounds/female_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
chiss_m	appearance/chiss_m.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
cll8	appearance/cll8.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
cww8	appearance/cww8.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
cww8a	appearance/cww8a.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
dantari_f	appearance/dantari_f.sat	text/sounds/female_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
dantari_m	appearance/dantari_m.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
dark_trooper_1	appearance/dark_trooper_1.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
dark_trooper_2	appearance/dark_trooper_2.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
dark_trooper_3	appearance/dark_trooper_3.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
darth_vader	appearance/darth_vader.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
defaultLights	appearance/defaultLights.iff	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
devaronian_m	appearance/devaronian_m.sat	text/sounds/male_sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
distant_ship_controller	appearance/distant_ship_controller.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
distant_ship_controller_imperial	appearance/distant_ship_controller_imperial.sat	text/sounds/sounds.txt	text/templates/base_humanoid.txt	text/templates/shared_base_humanoid.txt
